price,seasonal,trend,random,measure_date,forecast,upper,lower
176.9,9.871573593239376,180.87083333333337,-13.84240692657275,2008-02-01,FALSE,NA,NA
178.5,6.215328495200154,180.31250000000003,-8.027828495200168,2008-03-01,FALSE,NA,NA
180,4.940076044219769,180.26250000000005,-5.202576044219825,2008-04-01,FALSE,NA,NA
176.9,5.649110357945254,180.27500000000003,-9.02411035794529,2008-05-01,FALSE,NA,NA
182.4,-7.497693563623365,180.09583333333333,9.801860230290032,2008-06-01,FALSE,NA,NA
181.6,-7.541203367544933,179.81666666666666,9.32453670087827,2008-07-01,FALSE,NA,NA
190.5,-10.0918465967116,179.60416666666666,20.987679930044948,2008-08-01,FALSE,NA,NA
186.4,-6.744135659211599,179.325,13.81913565921161,2008-09-01,FALSE,NA,NA
178.7,-1.1559403467115934,179.10833333333332,0.7476070133782571,2008-10-01,FALSE,NA,NA
178.3,0.4357211116217319,179.5958333333333,-1.7315544449550373,2008-11-01,FALSE,NA,NA
171.2,1.8897028824550675,180.30416666666665,-10.993869549121712,2008-12-01,FALSE,NA,NA
175.9,4.029307049121737,180.725,-8.85430704912173,2009-01-01,FALSE,NA,NA
172.8,9.871573593239376,181.0083333333333,-18.079906926572647,2009-02-01,FALSE,NA,NA
175.9,6.215328495200154,180.80833333333337,-11.123661828533528,2009-03-01,FALSE,NA,NA
177.4,4.940076044219769,180.59166666666664,-8.131742710886414,2009-04-01,FALSE,NA,NA
191.2,5.649110357945254,180.73333333333335,4.817556308721379,2009-05-01,FALSE,NA,NA
185.1,-7.497693563623365,181.39583333333331,11.201860230290038,2009-06-01,FALSE,NA,NA
189,-7.541203367544933,182.15833333333333,14.382870034211606,2009-07-01,FALSE,NA,NA
189.9,-10.0918465967116,183.42083333333332,16.57101326337829,2009-08-01,FALSE,NA,NA
182.2,-6.744135659211599,184.99583333333334,3.9483023258782453,2009-09-01,FALSE,NA,NA
177.7,-1.1559403467115934,186.02083333333334,-7.164892986621766,2009-10-01,FALSE,NA,NA
182.7,0.4357211116217319,186.36666666666665,-4.102387778288403,2009-11-01,FALSE,NA,NA
182.7,1.8897028824550675,186.58749999999998,-5.777202882455043,2009-12-01,FALSE,NA,NA
182.7,4.029307049121737,187.0958333333333,-8.425140382455055,2010-01-01,FALSE,NA,NA
196.3,9.871573593239376,187.83749999999998,-1.4090735932393272,2010-02-01,FALSE,NA,NA
190.2,6.215328495200154,188.77499999999998,-4.790328495200129,2010-03-01,FALSE,NA,NA
187.7,4.940076044219769,189.79166666666663,-7.0317427108864194,2010-04-01,FALSE,NA,NA
189.2,5.649110357945254,190.75833333333333,-7.207443691278598,2010-05-01,FALSE,NA,NA
192.4,-7.497693563623365,192.65416666666667,7.243526896956695,2010-06-01,FALSE,NA,NA
193.9,-7.541203367544933,196.18333333333328,5.257870034211663,2010-07-01,FALSE,NA,NA
202.8,-10.0918465967116,201.20416666666662,11.687679930044993,2010-08-01,FALSE,NA,NA
191.8,-6.744135659211599,207.5333333333333,-8.989197674121698,2010-09-01,FALSE,NA,NA
192.5,-1.1559403467115934,215.09999999999997,-21.444059653288377,2010-10-01,FALSE,NA,NA
191.1,0.4357211116217319,223.5875,-32.92322111162176,2010-11-01,FALSE,NA,NA
219.8,1.8897028824550675,228.95833333333331,-11.048036215788358,2010-12-01,FALSE,NA,NA
230.3,4.029307049121737,230.42083333333335,-4.150140382455078,2011-01-01,FALSE,NA,NA
269.2,9.871573593239376,230.4375,28.890926406760627,2011-02-01,FALSE,NA,NA
269.2,6.215328495200154,230.49166666666665,32.4930048381332,2011-03-01,FALSE,NA,NA
290.3,4.940076044219769,231.05833333333334,54.301590622446895,2011-04-01,FALSE,NA,NA
290.3,5.649110357945254,231.6,53.050889642054784,2011-05-01,FALSE,NA,NA
220.2,-7.497693563623365,230.33749999999998,-2.639806436376631,2011-06-01,FALSE,NA,NA
201.2,-7.541203367544933,227.0375,-18.296296632455068,2011-07-01,FALSE,NA,NA
195.9,-10.0918465967116,221.975,-15.983153403288384,2011-08-01,FALSE,NA,NA
200,-6.744135659211599,215.1208333333333,-8.376697674121715,2011-09-01,FALSE,NA,NA
197.9,-1.1559403467115934,207.42499999999995,-8.36905965328836,2011-10-01,FALSE,NA,NA
198.7,0.4357211116217319,198.75416666666666,-0.4898877782884199,2011-11-01,FALSE,NA,NA
