invoice_id,city,customer_type,gender,product_line,unit_price,quantity,measure_date,measure_time,payment,rating,branch,tax,total,cogs,gross_income,gross_margin_percentage
870-90-7538,Naypyitaw,Normal,Female,Food and beverages,54.63,1,7/23/2019,18:00:00,Ewallet,4.7,C,2.7315,57.3615,28.39,NA,NA
924-11-7883,Mandalay,Normal,Female,Home and lifestyle,61.91,16,11/2/2019,10:00:00,Cash,8.5,B,49.528,1040.088,500.68,489,49
525-29-4051,Yangon,Normal,Female,Fashion accessories,66.24,7,6/20/2019,11:00:00,Cash,7.7,A,23.184,486.864,371.87,91,19
627-41-7893,Mandalay,Normal,Male,Sports and travel,26.07,7,8/27/2019,18:00:00,Cash,4.8,B,9.1245,191.6145,143.72,38,21
206-49-7734,Naypyitaw,Member,Male,Fashion accessories,37.32,9,12/13/2019,19:00:00,Cash,6.6,C,16.794,352.674,215.6,120,35
841-41-9917,Naypyitaw,Member,Female,Electronic accessories,65.99,10,3/17/2019,18:00:00,Cash,8,C,32.995,692.895,578.62,81,12
734-68-8835,Yangon,Normal,Female,Sports and travel,73.82,10,4/18/2019,10:00:00,Credit card,4.2,A,36.91,775.11,614.12,124,16
678-32-8290,Mandalay,Normal,Female,Home and lifestyle,12.78,14,12/20/2019,17:00:00,Credit card,4.5,B,8.946,187.866,148.97,29,16
493-17-6495,Naypyitaw,Member,Male,Fashion accessories,42.66,15,3/10/2019,19:00:00,Credit card,6.2,C,31.995,671.895,475.76,164,25
735-97-1860,Yangon,Member,Female,Food and beverages,85.08,6,1/7/2019,11:00:00,Credit card,7.3,A,25.524,536.004,396.75,113,22
601-47-5668,Yangon,Normal,Female,Home and lifestyle,27.74,20,11/14/2019,13:00:00,Credit card,4.9,A,27.74,582.54,424.59,130,23
792-79-5977,Mandalay,Normal,Female,Food and beverages,19.44,13,11/13/2019,11:00:00,Ewallet,4.6,B,12.636,265.356,223.71,NA,NA
703-45-3960,Yangon,Normal,Female,Health and beauty,55.45,2,3/3/2019,16:00:00,Ewallet,6.1,A,5.545,116.445,57.73,NA,NA
563-28-7608,Naypyitaw,Member,Male,Sports and travel,79.85,6,5/7/2019,16:00:00,Credit card,8.1,C,23.955,503.055,399.33,79,16
360-48-9943,Mandalay,Normal,Female,Fashion accessories,57.84,19,5/17/2019,13:00:00,Cash,9.3,B,54.948,1153.908,806.37,292,26
236-24-7864,Naypyitaw,Member,Female,Sports and travel,91.34,6,7/21/2019,16:00:00,Cash,9,C,27.402,575.442,393.54,154,28
595-23-1201,Yangon,Normal,Male,Food and beverages,35.31,1,4/13/2019,17:00:00,Ewallet,4.4,A,1.7655,37.0755,27.16,NA,NA
552-15-5982,Naypyitaw,Member,Male,Fashion accessories,26.8,7,1/16/2019,13:00:00,Cash,5.2,C,9.38,196.98,149.38,38,20
932-73-5723,Naypyitaw,Member,Female,Sports and travel,36.26,7,1/26/2019,13:00:00,Credit card,9.5,C,12.691,266.511,171.25,82,32
144-16-2262,Naypyitaw,Member,Female,Fashion accessories,51.28,20,5/12/2019,12:00:00,Cash,7.6,C,51.28,1076.88,863.6,162,15
107-70-4635,Mandalay,Member,Female,Home and lifestyle,60.98,17,4/12/2019,16:00:00,Credit card,6.5,B,51.833,1088.493,733.3,303,29
237-36-9519,Naypyitaw,Member,Female,Electronic accessories,87.58,5,12/14/2019,11:00:00,Ewallet,9.3,C,21.895,459.795,360.25,NA,NA
310-46-8189,Naypyitaw,Member,Male,Electronic accessories,81.75,4,10/20/2019,14:00:00,Cash,8.9,C,16.35,343.35,171.91,155,47
965-61-5326,Yangon,Member,Male,Home and lifestyle,43.96,1,4/28/2019,15:00:00,Credit card,4.1,A,2.198,46.158,34.25,9,22
233-86-9646,Naypyitaw,Normal,Male,Home and lifestyle,36.1,17,5/22/2019,19:00:00,Cash,5.6,C,30.685,644.385,526.58,87,14
114-18-6921,Yangon,Member,Female,Sports and travel,63.44,2,7/9/2019,12:00:00,Credit card,9.7,A,6.344,133.224,69.56,57,45
496-84-8783,Mandalay,Member,Male,Sports and travel,62.88,11,5/23/2019,13:00:00,Ewallet,9.6,B,34.584,726.264,450.79,NA,NA
536-55-6984,Naypyitaw,Member,Female,Sports and travel,48.94,1,5/10/2019,14:00:00,Ewallet,8.2,C,2.447,51.387,32.08,NA,NA
